"Plot_ID","Longitude_WGS84","Latitude_WGS84","NDVI","Ignorance","Elevation_m","Notes"
"PLOT_001",10.287587,43.680441,-0.076,85.92,0,""
"PLOT_002",10.285248,43.775442,0.477,97.08,4,""
"PLOT_003",10.297714,43.601094,0.455,98.86,5,""
"PLOT_004",10.280071,43.795822,0.392,102.07,4,""
"PLOT_005",10.348756,43.690611,0.339,97.99,4,""
"PLOT_006",10.359683,43.813549,0.167,102.19,-2,""
"PLOT_007",10.294507,43.791395,0.357,101.68,12,""
"PLOT_008",10.400045,43.652668,0.206,102.02,-2,""
"PLOT_009",10.338648,43.61291,0.454,56.19,7,""
"PLOT_010",10.344363,43.838691,-0.101,89.46,-1,""
"PLOT_011",10.314229,43.599598,0.255,96.3,-1,""
"PLOT_012",10.330557,43.688769,0.322,98.25,1,""
"PLOT_013",10.311164,43.823173,0.275,101.68,1,""
"PLOT_014",10.313182,43.58726,-0.072,92.23,0,""
"PLOT_015",10.34027,43.743966,0.436,31.59,17,""
"PLOT_016",10.381246,43.642111,0.297,100.6,2,""
"PLOT_017",10.348089,43.621986,0.29,56.48,5,""
"PLOT_018",10.32712,43.649282,0.453,104.13,13,""
"PLOT_019",10.304837,43.833362,0.274,98.86,2,""
"PLOT_020",10.318608,43.812262,0.227,102.19,-3,""
"PLOT_021",10.306748,43.791981,0.347,103.1,12,""
"PLOT_022",10.324591,43.600192,0.479,75.36,13,""
"PLOT_023",10.374504,43.622161,0.182,100.86,-1,""
"PLOT_024",10.293845,43.708555,0.435,62.2,8,""
"PLOT_025",10.306769,43.667897,0.171,99.38,1,""
"PLOT_026",10.277746,43.798438,0.44,101.86,12,""
"PLOT_027",10.288138,43.804133,0.289,101.6,3,""
"PLOT_028",10.323072,43.640004,0.409,104.1,8,""
"PLOT_029",10.289984,43.669428,0.327,95.13,-1,""
"PLOT_030",10.308512,43.654158,0.42,103.35,9,""
"PLOT_031",10.387845,43.666237,0.507,104.25,-1,""
"PLOT_032",10.378804,43.672883,0.261,102.79,-1,""
"PLOT_033",10.315094,43.695951,0.404,98.07,13,""
"PLOT_034",10.321111,43.704423,0.429,79.26,13,""
"PLOT_035",10.318421,43.727855,0.477,20.59,10,""
"PLOT_036",10.299534,43.859701,-0.06,93.46,-1,""
"PLOT_037",10.387537,43.62045,0.308,101.83,1,""
"PLOT_038",10.296399,43.683965,0.369,89.78,1,""
"PLOT_039",10.342556,43.851619,0.413,81.46,-3,""
"PLOT_040",10.32166,43.687906,0.377,101.21,4,""
"PLOT_041",10.290642,43.649303,0.439,102.88,9,""
"PLOT_042",10.319868,43.627485,0.369,103.02,19,""
"PLOT_043",10.279351,43.816585,0.439,94.71,9,""
"PLOT_044",10.345952,43.662308,0.313,99.17,9,""
"PLOT_045",10.319577,43.696532,0.485,99.44,9,""
"PLOT_046",10.247844,43.850009,0.394,81.03,6,""
"PLOT_047",10.362874,43.711434,0.43,53.84,2,""
"PLOT_048",10.372274,43.631683,0.216,100.5,-2,""
"PLOT_049",10.345166,43.652922,0.388,102.33,14,""
"PLOT_050",10.324246,43.653197,0.491,103.51,14,""
