"Plot_ID","OGU","Sampling_Order","Latitude","Longitude","NDVI","Elevation_m"
1,"All_Plots",20,43.791164,10.327217,0.167,-2.4
2,"All_Plots",4,43.812292,10.331019,0.44,-3.2
3,"All_Plots",46,43.674554,10.290409,0.256,-0.1
4,"All_Plots",15,43.807637,10.33089,0.365,-3.1
5,"All_Plots",19,43.667067,10.33142,0.38,15.1
6,"All_Plots",33,43.805975,10.368262,0.162,-0.7
7,"All_Plots",5,43.711203,10.307142,0.466,7.8
8,"All_Plots",18,43.704342,10.295321,0.416,5.5
9,"All_Plots",26,43.64133,10.335357,0.337,6.7
10,"All_Plots",31,43.70106,10.358406,0.365,3.4
11,"All_Plots",37,43.630871,10.354575,0.251,4.1
12,"All_Plots",39,43.677336,10.315277,0.338,1.7
13,"All_Plots",32,43.67975,10.327925,-0.081,0.3
14,"All_Plots",47,43.800362,10.34995,0.425,-0.9
15,"All_Plots",6,43.865329,10.292733,0.077,-0.4
16,"All_Plots",9,43.819562,10.358085,0.267,-2.6
17,"All_Plots",7,43.633804,10.348664,0.333,12.8
18,"All_Plots",41,43.673293,10.354333,0.437,6.3
19,"All_Plots",38,43.852171,10.339631,0.394,-2.6
20,"All_Plots",43,43.650595,10.322945,0.448,12.1
21,"All_Plots",34,43.679566,10.282296,0.157,1.1
22,"All_Plots",44,43.687773,10.356563,0.285,2.2
23,"All_Plots",40,43.590659,10.310383,0.263,-0.6
24,"All_Plots",1,43.80632,10.264632,0.276,3.3
25,"All_Plots",25,43.711259,10.347459,0.511,8.6
26,"All_Plots",48,43.830821,10.347084,-0.098,-1
27,"All_Plots",8,43.75197,10.279608,0.213,9.5
28,"All_Plots",13,43.815303,10.279384,0.366,8.5
29,"All_Plots",36,43.66832,10.346828,0.269,1.8
30,"All_Plots",11,43.74059,10.366601,0.188,0.5
31,"All_Plots",24,43.866221,10.308546,0.416,-1
32,"All_Plots",28,43.747114,10.322179,0.059,1.4
33,"All_Plots",50,43.840133,10.339516,-0.101,-1
34,"All_Plots",45,43.620403,10.396615,0.179,-0.6
35,"All_Plots",10,43.622156,10.345847,0.517,13.4
36,"All_Plots",22,43.699816,10.28111,0.247,0.6
37,"All_Plots",27,43.640789,10.312754,0.394,10.2
38,"All_Plots",35,43.85748,10.305414,0.234,-0.9
39,"All_Plots",49,43.688838,10.317927,0.395,9.7
40,"All_Plots",3,43.660369,10.340337,0.45,17.7
41,"All_Plots",30,43.776234,10.326002,0.299,1
42,"All_Plots",2,43.837171,10.336278,-0.107,-1
43,"All_Plots",17,43.843484,10.265338,0.248,6.4
44,"All_Plots",12,43.854192,10.285491,0.368,1.6
45,"All_Plots",42,43.762933,10.324627,0.28,0.7
46,"All_Plots",21,43.728788,10.347858,0.313,-0.6
47,"All_Plots",14,43.636278,10.340513,0.435,12.8
48,"All_Plots",29,43.755399,10.348515,0.233,2.3
49,"All_Plots",23,43.800759,10.306669,0.327,15.8
50,"All_Plots",16,43.725234,10.33001,0.295,9.4
